DATE;EXPORT;USD;RESERVE
2013-01;12263324.26;1.76;103550.00
2013-02;13155175.59;1.77;104437.00
2013-03;14066303.61;1.81;105650.00
2013-04;13450014.59;1.80;113269.00
2013-05;14141542.93;1.82;108773.00
2013-06;13053396.67;1.89;105566.00
2013-07;13804867.16;1.93;104303.00
2013-08;11859734.32;1.95;108615.00
2013-09;13824599.43;2.02;108884.00
2013-10;12846390.34;1.99;112731.00
2013-11;15100053.12;2.02;114282.00
2013-12;13915512.68;2.06;112002.00
2014-01;13056096.76;2.22;104627.00
2014-02;13707842.60;2.21;106453.00
2014-03;15431727.48;2.22;105897.00
2014-04;14209640.81;2.13;108989.00
2014-05;14460399.06;2.09;110337.00
2014-06;13554949.30;2.12;111901.00
2014-07;14039020.31;2.12;111738.00
2014-08;12095069.21;2.16;112929.00
2014-09;14376629.01;2.20;112773.00
2014-10;13573184.59;2.26;112710.00
2014-11;13782563.87;2.23;113159.00
2014-12;14217738.81;2.29;106314.00
2015-01;12910127.49;2.33;109639.00
2015-02;12846416.72;2.46;108641.00
2015-03;13215986.35;2.58;103474.00
2015-04;13953422.58;2.65;102801.00
2015-05;11607981.55;2.65;101329.00
2015-06;12606056.61;2.70;100771.00
2015-07;11745880.83;2.69;102532.00
2015-08;11522156.39;2.85;102287.00
2015-09;12065120.41;3.00;99599.00
2015-10;13838696.31;2.93;100121.00
2015-11;12311852.10;2.87;99707.00
2015-12;12358416.42;2.92;95703.00
2016-01;9956568.79;3.01;92856.00
2016-02;12939347.18;2.94;93693.00
2016-03;13384191.89;2.89;95016.00
2016-04;12533489.67;2.83;96193.00
2016-05;12637024.95;2.93;98397.00
2016-06;13465844.80;2.92;101895.00
2016-07;10286292.93;2.96;99927.00
2016-08;12342120.33;2.96;102781.00
2016-09;11376777.02;2.96;99009.00
2016-10;13491939.03;3.07;101626.00
2016-11;13378228.02;3.27;99034.00
2016-12;13455174.64;3.49;92050.00
2017-01;11738727.56;3.73;92517.00
2017-02;12643609.01;3.67;91088.00
2017-03;15075608.16;3.67;88577.00
2017-04;13420425.68;3.65;84986.00
2017-05;14213768.01;3.56;86971.00
2017-06;13671983.57;3.52;90196.00
2017-07;13179496.04;3.56;87466.00
2017-08;13916052.55;3.51;90412.00
2017-09;12391566.74;3.47;91503.00
2017-10;14672918.16;3.66;95480.00
2017-11;14909379.88;3.88;96350.00
2017-12;14661083.97;3.85;84110.00
2018-01;13080096.76;3.77;91391.00
2018-02;13827132.66;3.78;88654.00
2018-03;16338253.92;3.88;84701.00
2018-04;14530822.87;4.05;87573.00
2018-05;15166648.04;4.41;83762.00
2018-06;13657091.16;4.63;75565.00
2018-07;14771360.70;4.75;78329.00
2018-08;12926754.20;5.73;70413.00
2018-09;15247368.85;6.37;66989.00
2018-10;16590652.49;5.86;67605.00
2018-11;16386878.39;5.37;71699.00
2018-12;14645696.25;5.31;71980.00
2019-01;13875105.18;5.37;73470.00
2019-02;14323197.51;5.26;79122.00
2019-03;16336019.24;5.44;75407.00
2019-04;15341642.23;5.74;73284.00
2019-05;16855276.44;6.05;75038.00
2019-06;11635155.96;5.81;73544.00
2019-07;15932825.86;5.67;74970.00
2019-08;13224033.75;5.62;75796.00
2019-09;15275275.10;5.71;75655.00
2019-10;16414316.14;5.78;78504.00
2019-11;16249041.30;5.73;78273.00
2019-12;15408952.26;5.84;81240.00
2020-01;14701547.01;5.92;74856.00
2020-02;14608457.41;6.04;77413.00
2020-03;13353541.66;6.31;64081.00
2020-04;8978637.57;6.82;51457.00
2020-05;9956403.96;6.95;54359.00
2020-06;13461087.62;6.81;51416.00
2020-07;14892111.65;6.85;46672.00
2020-08;12457175.27;7.25;41593.00
2020-09;15992041.28;7.51;42420.00
2020-10;17323085.57;7.87;42259.00
2020-11;16092912.48;8.00;43898.00
2020-12;17852408.82;7.72;49965.00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
